Used 2024 Ford, Maverick XLT SuperCrew AWD, $28,998, Fair Price, 36,517 miles, 
Used 2024 Ford, Super Duty F-350 XL Regular Cab 8' Box SRW 4WD, $49,995, Fair Price, 9,461 miles, 
Used 2024 Ford, Escape ST-Line FWD, $23,250, Fair Price, 27,656 miles, 
Used 2024 Ford, Bronco Wildtrak 4 Door Advanced 4WD, $67,940, High Price, 5 miles, 
Used 2024 Ford, Escape Active AWD, $23,495, Fair Price, 27,863 miles, 
Used 2024 Ford, Bronco Sport Big Bend, $27,250, Fair Price, 21,979 miles, 
Used 2024 Ford, Mustang Dark Horse Fastback, $57,500, Fair Price, 3,512 miles, 
Used 2024 Ford, Expedition Max Limited 4WD, $66,000, High Price, 5,179 miles, 
Used 2024 Ford, Expedition Limited 4WD, $53,995, High Price, 28,638 miles, 
Used 2024 Ford, Escape Plug-In Hybrid FWD, $31,500, Great Price, 241 miles, 
Used 2024 Ford, F-150 STX SuperCrew 5.5' Box 4WD, $39,000, Great Price, 29,891 miles, 
Used 2024 Ford, F-150 Platinum SuperCrew 6.5' Box 4WD, $67,900, Fair Price, 25,568 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $42,994, Fair Price, 32,978 miles, 
Used 2024 Ford, Bronco Outer Banks 4 Door 4WD, $48,918, Great Price, 17,479 miles, 
Used 2024 Ford, Escape ST-Line AWD, $26,000, Great Price, 18,370 miles, 
Used 2024 Ford, Super Duty F-250 Platinum Crew Cab 6.75' Box 4WD, $79,000, Fair Price, 32,892 miles, 
Used 2024 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $47,929, Great Price, 11,257 miles, 
Used 2024 Ford, Super Duty F-250 XLT Crew Cab 6.75' Box 4WD, $55,000, Fair Price, 2,414 miles, 
Used 2024 Ford, Mustang Mach-E Premium AWD, $36,500, High Price, 20,906 miles, 
Used 2024 Ford, Explorer Limited 4WD, $37,900, Fair Price, 28,773 miles, 
Used 2024 Ford, Edge ST-Line, $36,995, High Price, 8,378 miles, 
Used 2024 Ford, Expedition Limited 4WD, $53,995, High Price, 28,638 miles, 
Used 2024 Ford, Transit Passenger Wagon T-350 XLT 148" Medium Roof RWD, $52,777, High Price, 13,752 miles, 
Used 2024 Ford, Bronco Sport Big Bend, $28,495, Great Price, 9,321 miles, 
Used 2024 Ford, Explorer Limited RWD, $33,901, Fair Price, 44,174 miles, 
Used 2024 Ford, Bronco Sport Big Bend, $28,994, Fair Price, 6,667 miles, 
