Used 2022 Honda, Odyssey EX-L, $38,512, High Price, 27,631 miles, 
Used 2022 Honda, Civic LX Sedan CVT, $26,676, High Price, 21,788 miles, 
Used 2022 Honda, Ridgeline Black Edition, $37,552, Fair Price, 11,562 miles, 
Used 2022 Honda, Pilot Special Edition AWD, $36,987, Fair Price, 8,578 miles, 
Used 2022 Honda, CR-V EX AWD, $29,487, Fair Price, 16,512 miles, 
Used 2022 Honda, CR-V EX-L AWD, $27,411, High Price, 77,516 miles, 
Used 2022 Honda, CR-V EX AWD, $28,250, High Price, 47,397 miles, 
Used 2022 Honda, CR-V EX AWD, $28,995, Fair Price, 36,324 miles, 
Used 2022 Honda, Pilot Sport AWD, $31,991, Fair Price, 31,021 miles, 
Used 2022 Honda, Ridgeline RTL-E, $33,306, Great Price, 39,985 miles, 
Used 2022 Honda, CR-V EX AWD, $25,899, Fair Price, 63,051 miles, 
Used 2022 Honda, CR-V EX AWD, $32,982, High Price, 17,690 miles, 
Used 2022 Honda, CR-V EX AWD, $35,982, High Price, 19,513 miles, 
Used 2022 Honda, Accord Hybrid Sport CVT, $31,675, High Price, 27,343 miles, 
Used 2022 Honda, Accord Sport 1.5T CVT, $27,487, Fair Price, 25,207 miles, 
Used 2022 Honda, Pilot Touring 7-Passenger AWD, $35,599, Fair Price, 49,216 miles, 
Used 2022 Honda, CR-V Touring AWD, $33,499, Fair Price, 9,076 miles, 
Used 2022 Honda, CR-V Hybrid EX-L AWD, $31,998, Fair Price, 21,817 miles, 
Used 2022 Honda, CR-V Hybrid EX-L AWD, $35,543, High Price, 42,416 miles, 
Used 2022 Honda, CR-V EX AWD, $33,982, High Price, 12,398 miles, 
Used 2022 Honda, CR-V Touring AWD, $34,986, High Price, 66,481 miles, 
Used 2022 Honda, CR-V EX AWD, $30,450, Fair Price, 14,686 miles, 
Used 2022 Honda, Passport EX-L AWD, $32,599, High Price, 44,772 miles, 
Used 2022 Honda, Civic Sport Hatchback CVT, $25,997, High Price, 45,477 miles, 
Used 2022 Honda, CR-V EX AWD, $34,982, High Price, 25,237 miles, 
Used 2022 Honda, CR-V EX-L AWD, $33,868, High Price, 65,938 miles, 
Used 2022 Honda, Pilot Special Edition AWD, $34,742, Fair Price, 35,531 miles, 
Used 2022 Honda, Civic Sport Sedan CVT, $24,995, Fair Price, 25,884 miles, 
Used 2022 Honda, Civic LX Sedan CVT, $22,090, Fair Price, 23,407 miles, 
Used 2022 Honda, CR-V EX-L AWD, $29,888, Fair Price, 24,783 miles, 
Used 2022 Honda, Passport TrailSport AWD, $34,467, Fair Price, 28,392 miles, 
Used 2022 Honda, Accord Sport SE 1.5T CVT, $28,900, High Price, 26,942 miles, 
Used 2022 Honda, Pilot Special Edition AWD, $34,954, High Price, 24,947 miles, 
Used 2022 Honda, HR-V EX AWD, $23,999, Fair Price, 45,222 miles, 
Used 2022 Honda, Passport EX-L AWD, $32,558, High Price, 32,364 miles, 
