Year/Make, Model, Price, Rating, Mileage
Used 2022 Hyundai, Venue SE IVT, 15990, Fair Price, 39367
Used 2022 Hyundai, Kona SEL AWD Automatic, 21995, High Price, 8795
Used 2022 Hyundai, Tucson SEL AWD, 22595, Fair Price, 50653
Used 2022 Hyundai, Santa Cruz Limited AWD, 28805, Fair Price, 24387
Used 2022 Hyundai, Santa Fe Limited AWD, 25568, Great Price, 59087
Used 2022 Hyundai, Sonata SEL Plus, 22990, Fair Price, 12755
Used 2022 Hyundai, Elantra Limited IVT (SULEV), 22550, Fair Price, 2158
Used 2022 Hyundai, Santa Fe Calligraphy AWD, 30500, High Price, 11727
Used 2022 Hyundai, Elantra N Line DCT, 20874, High Price, 36389
Used 2022 Hyundai, Kona Limited AWD DCT, 21395, High Price, 25765
Used 2022 Hyundai, Tucson SEL AWD, 22244, Fair Price, 40570
Used 2022 Hyundai, Santa Fe Calligraphy AWD, 28075, Great Price, 33333
Used 2022 Hyundai, Tucson SEL AWD, 22500, Fair Price, 38876
Used 2022 Hyundai, Kona SEL AWD Automatic, 19305, Fair Price, 24903
Used 2022 Hyundai, Tucson SEL AWD, 19300, High Price, 69356
Used 2022 Hyundai, Santa Fe SEL AWD, 23959, High Price, 35953
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 17985, Great Price, 16562
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, 25995, Fair Price, 35965
Used 2022 Hyundai, Santa Fe Hybrid SEL Premium AWD, 22490, Fair Price, 65703
Used 2022 Hyundai, Kona SEL AWD Automatic, 19959, High Price, 37813
Used 2022 Hyundai, Santa Fe Limited AWD, 30308, Fair Price, 14460
Used 2022 Hyundai, Kona SE AWD Automatic, 18995, Fair Price, 21739
Used 2022 Hyundai, Santa Cruz Limited AWD, 28498, Fair Price, 28200
Used 2022 Hyundai, Sonata Limited, 25995, Fair Price, 24187
Used 2022 Hyundai, Tucson SEL AWD, 25998, High Price, 20446
Used 2022 Hyundai, Tucson SEL AWD, 23607, Fair Price, 25977
Used 2022 Hyundai, Tucson SEL AWD, 22995, Great Price, 42841
Used 2022 Hyundai, Sonata SEL Plus, 23490, Fair Price, 17541
Used 2022 Hyundai, Sonata SEL, 18139, Excellent Price, 41735
Used 2022 Hyundai, IONIQ 5 SEL AWD, 19888, Great Price, 102252
Used 2022 Hyundai, Tucson Limited AWD, 23490, Excellent Price, 28393
Used 2022 Hyundai, Santa Fe SEL FWD, 19895, Fair Price, 55005
Used 2022 Hyundai, Tucson SEL AWD, 21917, Fair Price, 23615
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 18495, High Price, 32915
Used 2022 Hyundai, Tucson Limited AWD, 25690, Great Price, 13368
Used 2022 Hyundai, Santa Fe SEL AWD, 22998, Fair Price, 42435
Used 2022 Hyundai, Tucson SEL AWD, 24400, Fair Price, 23077
Used 2022 Hyundai, Venue SEL IVT, 16239, Excellent Price, 30485
Used 2022 Hyundai, Tucson SEL AWD, 21935, Fair Price, 34389
Used 2022 Hyundai, Sonata SEL Plus, 22950, Fair Price, 26908
