Used 2022 Kia, Niro Hybrid LXS, $14,995, Great Price, 83,976 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $33,745, Fair Price, 24,340 miles, 
Used 2022 Kia, Soul LX IVT, $16,978, Fair Price, 30,900 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,695, Great Price, 36,262 miles, 
Used 2022 Kia, Telluride S AWD, $29,495, High Price, 79,583 miles, 
Used 2022 Kia, Forte GT-Line IVT, $21,559, High Price, 29,483 miles, 
Used 2022 Kia, Telluride S AWD, $34,500, Fair Price, 8,766 miles, 
Used 2022 Kia, Sorento SX AWD, $29,590, Great Price, 17,646 miles, 
Used 2022 Kia, Sorento SX AWD, $32,498, High Price, 38,254 miles, 
Used 2022 Kia, Carnival SX Prestige, $36,839, High Price, 44,537 miles, 
Used 2022 Kia, Niro EV EX, $21,490, Fair Price, 31,006 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $28,490, Great Price, 24,507 miles, 
Used 2022 Kia, Stinger GT1 AWD, $29,995, Fair Price, 33,271 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $26,998, Fair Price, 62,580 miles, 
Used 2022 Kia, Telluride EX AWD, $33,479, High Price, 71,085 miles, 
Used 2022 Kia, Seltos EX 2.0 AWD, $21,495, High Price, 29,969 miles, 
Used 2022 Kia, Soul LX IVT, $16,850, Great Price, 44,273 miles, 
Used 2022 Kia, Telluride EX AWD, $35,110, Fair Price, 54,026 miles, 
Used 2022 Kia, K5 GT-Line AWD, $23,995, Fair Price, 57,935 miles, 
Used 2022 Kia, Sportage LX AWD, $18,690, Great Price, 32,259 miles, 
Used 2022 Kia, Sportage LX AWD, $17,759, High Price, 76,020 miles, 
Used 2022 Kia, Sorento Hybrid S AWD, $31,498, High Price, 29,160 miles, 
Used 2022 Kia, Telluride EX FWD, $30,995, High Price, 53,379 miles, 
Used 2022 Kia, Forte GT-Line IVT, $20,191, Fair Price, 14,834 miles, 
Used 2022 Kia, Forte GT-Line IVT, $17,995, High Price, 31,410 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $29,495, High Price, 27,093 miles, 
Used 2022 Kia, Seltos Nightfall 1.6T AWD, $23,980, High Price, 8,726 miles, 
Used 2022 Kia, Sorento LX AWD, $23,988, Great Price, 29,672 miles, 
Used 2022 Kia, Stinger GT-Line AWD, $29,998, Great Price, 25,400 miles, 
Used 2022 Kia, Forte LXS IVT, $20,059, High Price, 32,390 miles, 
Used 2022 Kia, Seltos EX 2.0 AWD, $21,495, High Price, 34,095 miles, 
Used 2022 Kia, K5 EX FWD, $25,490, Fair Price, 25,856 miles, 
Used 2022 Kia, Sportage LX AWD, $18,495, Excellent Price, 32,718 miles, 
Used 2022 Kia, Forte GT-Line IVT, $18,895, Fair Price, 21,822 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $28,477, High Price, 21,113 miles, 
Used 2022 Kia, Carnival SX Prestige, $35,998, High Price, 52,012 miles, 
Used 2022 Kia, Forte LXS IVT, $17,995, Fair Price, 12,028 miles, 
Used 2022 Kia, EV6 GT-Line RWD, $24,795, High Price, 17,783 miles, 
Used 2022 Kia, Sorento S FWD, $26,300, Fair Price, 18,430 miles, 
Used 2022 Kia, K5 GT-Line FWD, $24,998, High Price, 41,921 miles, 
Used 2022 Kia, Sorento SX AWD, $30,999, Great Price, 25,536 miles, 
Used 2022 Kia, Sorento SX AWD, $32,791, Fair Price, 12,339 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,059, Fair Price, 40,269 miles, 
